Language_ID	Word_Order	Flexivity	Gender_or_Noun_Class	Locus_of_Marking	Fusion	Informativity
alab1254	0.18181818181818182	0.23333333333333334	0.5294117647058824	0.2727272727272727	0.4508196721311476	0.38181818181818183
alac1244	0.8	0.5	0.5333333333333333	0.5	0.36458333333333337	0.4
alag1248	0.5454545454545454	0.1724137931034483	0.375	0.5294117647058824	0.4333333333333333	0.3333333333333333
aleu1260	0.45454545454545453	0.13333333333333333	0.17647058823529413	0.45454545454545453	0.5500000000000002	0.46296296296296297
alor1247	0.7272727272727273	0	0.17647058823529413	0.47058823529411764	0.0175438596491228	0.13333333333333333
alse1251	0.16666666666666666	0.17857142857142858	0.1875	0.5517241379310345	0.553191489361702	0.4523809523809524
aluk1238	0.1	0.16	0.26666666666666666	0.29411764705882354	0.3392857142857142	0.30434782608695654
amah1246	0.3333333333333333	0.08333333333333333	0.17647058823529413	0.4827586206896552	0.40384615384615385	0.3125
amam1246	0.25	0.20689655172413793	0.47058823529411764	0.47058823529411764	0.4	0.3076923076923077
amap1240	0.4	0.3448275862068966	0.29411764705882354	0.5151515151515151	0.33018867924528306	0.30612244897959184
amar1272	0.5	0.037037037037037035	0.125	0.45454545454545453	0.17708333333333334	0.25
amar1274	0.5	0.04	0.17647058823529413	0.4411764705882353	0.3999999999999999	0.25
amas1236	0.2857142857142857	0.21428571428571427	0.17647058823529413	0.4117647058823529	0.1916666666666666	0.22448979591836735
ambo1250	0.6363636363636364	0.06666666666666667	0.17647058823529413	0.5	0.07500000000000001	0.28846153846153844
amdo1237	0.3	0.11538461538461539	0.1875	0.2727272727272727	0.25	0.2857142857142857
amii1238	0.375	0.26666666666666666	0.5294117647058824	0.47058823529411764	0.4035087719298246	0.43137254901960786
amis1246	0.625	0.041666666666666664	0.125	0.35714285714285715	0.24489795918367344	0.2553191489361702
amri1238	0.2	0.16666666666666666	0.1875	0.4	0.3627450980392157	0.32558139534883723
anci1242	0.45454545454545453	0.43333333333333335	0.6470588235294118	0.2647058823529412	0.4836065573770491	0.4
anci1244	0.7272727272727273	0.32	0.5625	0.5757575757575758	0.4	0.32727272727272727
anei1239	0.7272727272727273	0.10714285714285714	0.17647058823529413	0.29411764705882354	0.23728813559322037	0.2962962962962963
anga1288	0.3333333333333333	0.06666666666666667	0.17647058823529413	0.47058823529411764	0.3916666666666667	0.36538461538461536
anuf1239	0.7777777777777778	0.07142857142857142	0.17647058823529413	0.36363636363636365	0.10909090909090911	0.2
anut1237	0.625	0.03571428571428571	0.125	0.45161290322580644	0.11	0.35714285714285715
anuu1241	0.2727272727272727	0.03333333333333333	0.17647058823529413	0.47058823529411764	0.11475409836065578	0.2545454545454545
aona1235	0.18181818181818182	0.038461538461538464	0.17647058823529413	0.375	0.3166666666666667	0.37735849056603776
aoua1234	0.5555555555555556	0.06666666666666667	0.11764705882352941	0.4411764705882353	0.04918032786885244	0.25
apat1240	0.3	0.08695652173913043	0.11764705882352941	0.4411764705882353	0.24545454545454545	0.41304347826086957
apin1244	0.5454545454545454	0.20689655172413793	0.125	0.47058823529411764	0.225	0.4
apma1240	0.6363636363636364	0.06666666666666667	0.11764705882352941	0.5294117647058824	0.13114754098360656	0.21818181818181817
apur1254	0.2222222222222222	0.4	0.5625	0.5517241379310345	0.4	0.35294117647058826
arak1252	0.6363636363636364	0.1	0.058823529411764705	0.5	0.12295081967213112	0.24074074074074073
arao1248	0.18181818181818182	0.06666666666666667	0.17647058823529413	0.4411764705882353	0.4672131147540984	0.509090909090909
arap1274	0.6363636363636364	0.25	0.4117647058823529	0.5882352941176471	0.525	0.37037037037037035
araw1273	0.14285714285714285	0.11538461538461539	0.1875	0.64	0.3269230769230769	0.3409090909090909
arbo1245	0.5555555555555556	0.41379310344827586	0.4375	0.5625	0.390909090909091	0.2830188679245283
arch1244	0.1111111111111111	0.5	0.4666666666666667	0.24	0.4565217391304347	0.40476190476190477
area1240	0.8181818181818182	0.03333333333333333	0.11764705882352941	0.47058823529411764	0.2049180327868852	0.34545454545454546
aree1239	0.3333333333333333	0.041666666666666664	0.11764705882352941	0.4838709677419355	0.23684210526315788	0.19230769230769232
argo1244	0.2727272727272727	0.2692307692307692	0.5294117647058824	0.29411764705882354	0.4344262295081968	0.32727272727272727
arhu1242	0.1111111111111111	0.13636363636363635	0.23529411764705882	0.6	0.5686274509803922	0.4791666666666667
arom1237	0.7142857142857143	0.5185185185185185	0.5882352941176471	0.35294117647058826	0.5172413793103449	0.36
arop1242	0.6363636363636364	0.06666666666666667	0.17647058823529413	0.47058823529411764	0.29661016949152536	0.32608695652173914
arop1243	0.6363636363636364	0	0.1875	0.5151515151515151	0.3076923076923077	0.22727272727272727
arta1239	0.5	0.10344827586206896	0.29411764705882354	0.29411764705882354	0.31147540983606553	0.3333333333333333
ashe1272	0.5454545454545454	0.3333333333333333	0.5294117647058824	0.6176470588235294	0.4590163934426229	0.4909090909090909
assi1247	0.18181818181818182	0.14285714285714285	0.29411764705882354	0.6764705882352942	0.4224137931034482	0.3584905660377358
asur1254	0.14285714285714285	0.038461538461538464	0.17647058823529413	0.53125	0.3557692307692307	0.24489795918367346
atak1252	0.4	0.16	0.17647058823529413	0.6774193548387096	0.44	0.25
atam1240	0.625	0	0.17647058823529413	0.5625	0.28571428571428575	0.30434782608695654
athp1241	0.18181818181818182	0.11538461538461539	0.11764705882352941	0.47058823529411764	0.43103448275862066	0.3269230769230769
aton1241	0.36363636363636365	0.03333333333333333	0.11764705882352941	0.35294117647058826	0.24590163934426224	0.34545454545454546
